"mCA","SinglemCA","plus1other","plus2ormore","s","s95CIlower","s95CIupper","mu","mu95CIlower","mu95CIupper"
"1p-",17,6,19,14.32,12.92,47.58,0.23,0.04,0.39
"1q-",19,8,15,16.02,14.33,48.45,0.32,0.08,0.51
"2p-",106,25,16,14.3,13.62,15.56,3.08,1.7,4.34
"2q-",34,7,11,18.94,16.48,48.51,0.31,0.15,0.47
"3p-",26,7,9,23.27,17.86,48.47,0.17,0.11,0.29
"3q-",15,2,5,15.55,14.64,48.43,0.27,0.06,0.42
"4q-",85,16,13,16.29,14.99,41.81,1.21,0.43,1.8
"5q-",121,18,16,14.19,13.64,15.11,1.44,1.01,1.83
"6p-",18,5,5,16.77,15.1,48.45,0.17,0.06,0.27
"6q-",33,14,34,13.61,12.71,16.7,0.47,0.18,0.72
"7p-",24,9,4,16.49,15.1,48.45,0.21,0.08,0.31
"7q-",65,32,32,14.47,13.69,16.35,0.78,0.42,1.09
"8p-",20,9,22,16.97,15.71,48.37,0.13,0.05,0.18
"8q-",8,4,4,20.3,14.98,48.41,0.09,0.04,0.26
"9q-",28,4,6,15.37,14.33,47.67,0.34,0.09,0.51
"10q-",252,8,19,11.97,11.69,12.29,4.35,3.54,5.06
"11p-",28,7,7,14.19,13.17,27.4,0.6,0.11,1.06
"11q-",178,34,26,13.03,12.65,13.49,2.56,1.96,3.05
"12p-",17,4,9,12.7,11.63,45.92,0.7,0.05,1.67
"12q-",24,5,15,13.97,13.27,45.92,0.51,0.08,0.81
"13q-",337,128,102,15.85,15.19,16.85,3.79,2.9,4.51
"14q-",68,50,39,15.96,14.9,39.39,0.78,0.28,1.1
"15q-",16,11,14,12.77,11.63,46.73,0.34,0.04,0.72
"16p-",104,19,11,14.86,14.18,16.79,3.19,1.5,4.8
"16q-",28,7,6,18.16,16.53,48.37,0.23,0.11,0.35
"17p-",9,79,78,19.71,15.71,48.37,0.05,0.02,0.09
"17q-",44,7,6,14.3,13.52,21.6,2.1,0.38,3.77
"18p-",10,10,10,11.47,10.57,47.43,0.26,0.02,0.54
"18q-",10,8,4,16.78,14.9,48.37,0.14,0.04,0.24
"20-",14,0,2,9.02,8.28,42.01,1.51,0.03,3.69
"20q-",364,32,24,14.21,13.85,14.63,6.01,4.83,7.06
"21q-",22,4,32,13.56,12.45,45.1,0.22,0.05,0.37
"22q-",60,42,33,16.4,14.9,46.73,0.73,0.26,1.06
